City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Musiri,IN,75.2,mist,10.9333,78.45,HOTEL GATEWAY
10,Rikitea,PF,78.71,few clouds,-23.1203,-134.9692,Pension Maro'i
11,Capao Bonito,BR,77.16,overcast clouds,-24.0058,-48.3494,HOTEL PASSARIM
14,Coromandel,BR,82.04,broken clouds,-18.4733,-47.2003,Hotel Dona Adélia
15,Kapaa,US,72.0,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
18,Tautira,PF,82.4,scattered clouds,-17.7333,-149.15,Pension Oaoa
21,Touros,BR,86.0,few clouds,-5.1989,-35.4608,INN NEW HORIZON
24,Carutapera,BR,86.47,clear sky,-1.195,-46.02,Lidera
25,Caravelas,BR,84.24,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
26,Tefe,BR,80.6,scattered clouds,-3.3542,-64.7114,Aracati Hotel
27,Chaparral,CO,86.2,broken clouds,3.7232,-75.4832,HOTEL AMBEIMA
30,Faanui,PF,81.1,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
31,Coahuayana,MX,82.4,clear sky,18.7333,-103.6833,Hotel Los Arcos
32,Atuona,PF,78.24,scattered clouds,-9.8,-139.0333,Villa Enata
34,Maragogi,BR,82.58,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
37,Santa Lucia,ES,71.01,few clouds,27.9117,-15.5407,Las Tirajanas
38,Mitu,CO,87.53,scattered clouds,1.1983,-70.1733,
39,Vaini,TO,77.0,light rain,-21.2,-175.2,Keleti Beach Resort
41,Mairinque,BR,87.8,scattered clouds,-23.5458,-47.1833,Sorocabana Palace Hotel
42,The Valley,AI,84.2,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
43,Merauke,ID,79.21,overcast clouds,-8.4667,140.3333,
46,Coquimbo,CL,71.6,few clouds,-29.9533,-71.3436,Hotel San Juan
49,Cape Town,ZA,71.01,moderate rain,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
55,Cabo San Lucas,MX,71.6,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
56,Butaritari,KI,80.76,light rain,3.0707,172.7902,Isles Sunset Lodge
58,Santa Rosa,PH,75.2,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
59,Emerald,AU,73.4,clear sky,-23.5333,148.1667,The Irish Village
60,Ovalle,CL,86.49,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
63,Panaba,MX,83.32,scattered clouds,21.2833,-88.2667,Hotel Don Fernando
64,Ahuimanu,US,73.4,broken clouds,21.4447,-157.8378,Paradise Bay Resort
69,Port-Gentil,GA,84.2,scattered clouds,-0.7193,8.7815,Fengshui Residence
74,Acarau,BR,86.86,broken clouds,-2.8856,-40.12,castelo pizzaria
75,Luanda,AO,84.2,few clouds,-8.8368,13.2343,EPIC SANA Luanda
77,Lorengau,PG,82.15,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
78,Alyangula,AU,82.4,light rain,-13.8483,136.4192,Groote Eylandt Lodge
81,Monrovia,LR,84.2,broken clouds,6.3005,-10.7969,Sunset Inn
82,Mahebourg,MU,80.6,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
86,Avarua,CK,78.8,few clouds,-21.2078,-159.775,Paradise Inn
91,Phan Thiet,VN,71.46,overcast clouds,10.9333,108.1,Hotel Saigon-PT
94,Buala,SB,80.91,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
97,Maceio,BR,86.0,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
99,Coihaique,CL,77.0,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
104,Rio Branco,BR,82.4,broken clouds,-9.9747,-67.81,João Paulo Hotel
105,Castro,BR,73.36,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
106,Mookane,BW,76.21,moderate rain,-23.688000000000002,26.6595,
111,Rio Gallegos,AR,75.2,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
112,Puerto Colombia,CO,87.8,clear sky,10.9878,-74.9547,Hotel El Emigrante
113,Puerto Ayora,EC,84.2,clear sky,-0.7393,-90.3518,Castillo Galapagos
116,Mercedes,AR,70.0,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
118,San Vicente De Canete,PE,77.43,clear sky,-13.0751,-76.3835,Hotel Konford
119,Puerto Escondido,MX,86.0,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
120,San Patricio,US,77.0,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
125,Georgetown,MY,80.01,few clouds,5.4112,100.3354,Cititel Penang
127,Riberalta,BO,81.9,overcast clouds,-10.9833,-66.1,Hotel Colonial
129,Kirakira,SB,81.34,overcast clouds,-10.4544,161.9205,SanBiz Lodge
130,Marawi,PH,75.0,overcast clouds,7.9986,124.2928,Derogongan Residence
132,Bambous Virieux,MU,81.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
133,Oistins,BB,84.2,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
134,Koulikoro,ML,85.06,overcast clouds,14.0,-7.75,
142,Salalah,OM,73.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
144,Santa Cruz Del Sur,CU,82.63,moderate rain,20.7147,-77.9956,
152,Taltal,CL,72.01,few clouds,-25.4,-70.4833,Residencial Karime
154,Roebourne,AU,87.15,overcast clouds,-20.7833,117.1333,Harding River Caravan Park
161,Sinazongwe,ZM,78.84,light rain,-17.2614,27.4618,Lakeview Lodge
162,Ilebo,CD,75.34,overcast clouds,-4.3167,20.5833,Hôtel des palmes
165,Gorontalo,ID,75.13,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
168,Carnarvon,AU,86.0,few clouds,-24.8667,113.6333,Hospitality Carnarvon
169,Geraldton,AU,71.6,clear sky,-28.7667,114.6,Broadwater Mariner Resort
170,Tete,MZ,77.0,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
172,Souillac,MU,80.6,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
175,Kununurra,AU,78.8,broken clouds,-15.7667,128.7333,Hotel Kununurra
