City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Musiri,IN,10.9333,78.45,75.2,83,20,6.91,mist
1,Ciudad Dario,NI,12.7314,-86.124,69.8,73,75,18.41,broken clouds
2,Quixada,BR,-4.9714,-39.0153,95.29,32,55,7.38,moderate rain
3,Vila,PT,42.0304,-8.1588,53.01,94,92,18.01,overcast clouds
4,Khatanga,RU,71.9667,102.5,-44.18,79,48,5.23,scattered clouds
5,Kargil,IN,34.5667,76.1,0.1,74,100,1.79,snow
6,Bluff,NZ,-46.6,168.3333,55.26,82,96,6.49,overcast clouds
7,New Norfolk,AU,-42.7826,147.0587,55.99,70,45,2.06,scattered clouds
8,Tuktoyaktuk,CA,69.4541,-133.0374,-31.0,75,75,2.3,broken clouds
9,Tasiilaq,GL,65.6145,-37.6368,14.0,57,75,4.61,broken clouds
10,Rikitea,PF,-23.1203,-134.9692,78.71,66,11,9.4,few clouds
11,Capao Bonito,BR,-24.0058,-48.3494,77.16,71,91,6.4,overcast clouds
12,Aswan,EG,24.0934,32.907,64.36,27,0,9.17,clear sky
13,Lavrentiya,RU,65.5833,-171.0,-9.63,86,100,13.33,overcast clouds
14,Coromandel,BR,-18.4733,-47.2003,82.04,59,66,2.95,broken clouds
15,Kapaa,US,22.0752,-159.319,72.0,83,40,14.97,light rain
16,Port Alfred,ZA,-33.5906,26.891,69.01,81,7,1.99,clear sky
17,Provideniya,RU,64.3833,-173.3,-7.55,87,100,23.8,light snow
18,Tautira,PF,-17.7333,-149.15,82.4,65,40,4.61,scattered clouds
19,Barrow,US,71.2906,-156.7887,-16.6,69,90,6.91,overcast clouds
20,San Cristobal,VE,7.7669,-72.225,91.4,35,20,20.71,few clouds
21,Touros,BR,-5.1989,-35.4608,86.0,54,20,16.11,few clouds
22,Hermanus,ZA,-34.4187,19.2345,64.99,90,38,8.01,moderate rain
23,Lebu,CL,-37.6167,-73.65,62.6,71,0,15.32,clear sky
24,Carutapera,BR,-1.195,-46.02,86.47,63,7,10.78,clear sky
25,Caravelas,BR,-17.7125,-39.2481,84.24,59,16,10.42,few clouds
26,Tefe,BR,-3.3542,-64.7114,80.6,83,40,5.75,scattered clouds
27,Chaparral,CO,3.7232,-75.4832,86.2,42,58,4.79,broken clouds
28,Belyy Yar,RU,53.6039,91.3903,-20.2,76,67,0.63,smoke
29,Laguna,US,38.421,-121.4238,57.0,66,90,4.61,overcast clouds
30,Faanui,PF,-16.4833,-151.75,81.1,73,100,10.25,overcast clouds
31,Coahuayana,MX,18.7333,-103.6833,82.4,47,1,6.15,clear sky
32,Atuona,PF,-9.8,-139.0333,78.24,75,38,18.07,scattered clouds
33,Palana,RU,59.1167,159.9667,-1.21,93,90,15.46,overcast clouds
34,Maragogi,BR,-9.0122,-35.2225,82.58,69,46,12.28,scattered clouds
35,Veraval,IN,20.9,70.3667,69.49,61,0,9.35,clear sky
36,Cherskiy,RU,68.75,161.3,-22.65,80,99,5.73,overcast clouds
37,Santa Lucia,ES,27.9117,-15.5407,71.01,68,20,27.63,few clouds
38,Mitu,CO,1.1983,-70.1733,87.53,63,46,3.67,scattered clouds
39,Vaini,TO,-21.2,-175.2,77.0,94,90,8.05,light rain
40,Busselton,AU,-33.65,115.3333,63.0,81,0,1.01,clear sky
41,Mairinque,BR,-23.5458,-47.1833,87.8,42,40,9.22,scattered clouds
42,The Valley,AI,18.217,-63.0578,84.2,65,40,17.27,scattered clouds
43,Merauke,ID,-8.4667,140.3333,79.21,88,100,12.64,overcast clouds
44,Bredasdorp,ZA,-34.5322,20.0403,66.0,91,37,5.01,light rain
45,Fortuna,US,40.5982,-124.1573,53.01,93,75,25.32,moderate rain
46,Coquimbo,CL,-29.9533,-71.3436,71.6,68,20,17.27,few clouds
47,Kodiak,US,57.79,-152.4072,26.6,54,1,5.75,clear sky
48,Hamilton,US,39.1834,-84.5333,39.0,100,90,4.61,moderate rain
49,Cape Town,ZA,-33.9258,18.4232,71.01,94,90,9.22,moderate rain
50,Ushuaia,AR,-54.8,-68.3,53.6,58,75,3.44,broken clouds
51,Sosnovo-Ozerskoye,RU,52.5249,111.5418,-30.46,83,34,11.54,scattered clouds
52,Albany,US,42.6001,-73.9662,18.0,52,99,3.65,overcast clouds
53,Hasaki,JP,35.7333,140.8333,35.6,55,75,9.22,broken clouds
54,Nouadhibou,MR,20.931,-17.0347,69.8,68,69,16.11,sand
55,Cabo San Lucas,MX,22.8909,-109.9124,71.6,73,75,4.61,broken clouds
56,Butaritari,KI,3.0707,172.7902,80.76,83,56,14.12,light rain
57,Svetlogorsk,BY,52.6333,29.7333,19.8,97,46,9.82,scattered clouds
58,Santa Rosa,PH,14.3122,121.1114,75.2,78,75,11.86,broken clouds
59,Emerald,AU,-23.5333,148.1667,73.4,68,0,6.91,clear sky
60,Ovalle,CL,-30.5983,-71.2003,86.49,31,0,15.9,clear sky
61,Mar Del Plata,AR,-38.0023,-57.5575,64.4,68,90,17.27,overcast clouds
62,Komsomolskiy,UZ,40.4272,71.7189,41.0,52,100,2.93,mist
63,Panaba,MX,21.2833,-88.2667,83.32,53,33,5.03,scattered clouds
64,Ahuimanu,US,21.4447,-157.8378,73.4,73,75,11.5,broken clouds
65,Nishihara,JP,26.1842,127.7558,64.4,67,40,5.75,scattered clouds
66,Port Elizabeth,ZA,-33.918,25.5701,69.8,83,0,13.8,clear sky
67,Sitka,US,57.0531,-135.33,35.6,64,40,4.88,scattered clouds
68,Airai,TL,-8.9266,125.4092,61.3,100,100,3.4,moderate rain
69,Port-Gentil,GA,-0.7193,8.7815,84.2,79,40,9.28,scattered clouds
70,Portland,US,45.5234,-122.6762,48.99,87,90,16.11,overcast clouds
71,Seoul,KR,37.5683,126.9778,42.8,87,90,4.61,overcast clouds
72,Qaanaaq,GL,77.484,-69.3632,-3.69,88,100,0.83,overcast clouds
73,Marathon,US,44.9,-89.7668,32.0,74,90,8.05,light snow
74,Acarau,BR,-2.8856,-40.12,86.86,63,75,17.67,broken clouds
75,Luanda,AO,-8.8368,13.2343,84.2,65,20,10.36,few clouds
76,Lompoc,US,34.6391,-120.4579,53.01,81,1,8.05,clear sky
