City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Khatanga,71.9667,102.5,-30.73,80,0,7.05,RU,2021-01-27 23:32:40
1,Colomi,-17.35,-65.8667,69.8,52,75,17.27,BO,2021-01-27 23:32:40
2,Upernavik,72.7868,-56.1549,-3.51,91,99,4.74,GL,2021-01-27 23:32:40
3,Butaritari,3.0707,172.7902,80.2,81,82,13.24,KI,2021-01-27 23:27:40
4,Waingapu,-9.6567,120.2641,81.07,77,100,12.33,ID,2021-01-27 23:32:40
5,Cape Town,-33.9258,18.4232,64.99,68,0,17.27,ZA,2021-01-27 23:29:25
6,Magdalena,14.1999,121.429,79.0,94,75,2.3,PH,2021-01-27 23:32:40
7,Busselton,-33.65,115.3333,59.0,95,8,11.72,AU,2021-01-27 23:32:40
8,Ouadda,8.0777,22.4007,74.16,20,33,6.02,CF,2021-01-27 23:32:41
9,Tasiilaq,65.6145,-37.6368,21.2,45,90,18.41,GL,2021-01-27 23:27:56
10,Luderitz,-26.6481,15.1594,67.51,59,0,26.57,NA,2021-01-27 23:32:41
11,Kavieng,-2.5744,150.7967,84.99,71,89,10.09,PG,2021-01-27 23:32:41
12,Gimli,50.6336,-96.9907,-7.6,64,79,3.38,CA,2021-01-27 23:32:41
13,Ushuaia,-54.8,-68.3,39.2,93,40,18.41,AR,2021-01-27 23:27:47
14,Brufut,13.3814,-16.7518,68.0,68,0,14.03,GM,2021-01-27 23:32:41
15,Rancho Palos Verdes,33.7445,-118.387,57.0,62,75,11.5,US,2021-01-27 23:28:07
16,Puerto Ayora,-0.7393,-90.3518,84.2,70,20,21.85,EC,2021-01-27 23:28:00
17,Severo-Kurilsk,50.6789,156.125,29.17,97,100,21.83,RU,2021-01-27 23:32:42
18,Kloulklubed,7.0419,134.2556,78.8,89,90,4.61,PW,2021-01-27 23:32:42
19,Rikitea,-23.1203,-134.9692,79.95,73,92,11.68,PF,2021-01-27 23:32:42
20,Barrow,71.2906,-156.7887,-9.4,77,90,5.75,US,2021-01-27 23:32:42
21,Punta Arenas,-53.15,-70.9167,46.4,66,75,21.85,CL,2021-01-27 23:32:42
22,Torbay,47.6666,-52.7314,28.0,80,90,6.91,CA,2021-01-27 23:27:51
23,Hermanus,-34.4187,19.2345,55.0,92,39,8.63,ZA,2021-01-27 23:32:42
24,Barranca,-10.75,-77.7667,70.59,84,92,6.15,PE,2021-01-27 23:31:09
25,Georgetown,5.4112,100.3354,79.0,88,20,4.59,MY,2021-01-27 23:28:43
26,Collie,-33.3667,116.15,59.0,75,37,1.99,AU,2021-01-27 23:32:43
27,Carnarvon,-24.8667,113.6333,71.6,78,0,14.97,AU,2021-01-27 23:27:52
28,Rocha,-34.4833,-54.3333,64.63,87,0,6.71,UY,2021-01-27 23:32:43
29,Tuktoyaktuk,69.4541,-133.0374,-29.2,75,20,5.75,CA,2021-01-27 23:32:43
30,Iqaluit,63.7506,-68.5145,-2.0,65,1,18.41,CA,2021-01-27 23:28:47
31,New Ulm,44.3125,-94.4605,14.0,62,90,5.75,US,2021-01-27 23:32:43
32,Hilo,19.7297,-155.09,77.0,69,90,6.91,US,2021-01-27 23:30:53
33,Xochistlahuaca,16.7833,-98.25,81.93,45,56,4.61,MX,2021-01-27 23:32:44
34,Vaini,-21.2,-175.2,75.2,94,90,11.5,TO,2021-01-27 23:28:14
35,Cabo San Lucas,22.8909,-109.9124,72.0,60,20,5.75,MX,2021-01-27 23:30:20
36,Mataura,-46.1927,168.8643,53.01,72,97,15.99,NZ,2021-01-27 23:32:44
37,Alyangula,-13.8483,136.4192,84.2,79,75,8.05,AU,2021-01-27 23:32:44
38,Egvekinot,66.3167,-179.1667,-12.91,87,99,22.46,RU,2021-01-27 23:32:45
39,Castro,-24.7911,-50.0119,66.13,94,100,4.45,BR,2021-01-27 23:32:45
40,Yellowknife,62.456,-114.3525,-9.0,77,90,4.61,CA,2021-01-27 23:32:45
41,Dhidhdhoo,6.8833,73.1,81.03,66,59,10.51,MV,2021-01-27 23:32:45
42,American Canyon,38.1749,-122.2608,51.8,76,90,13.8,US,2021-01-27 23:29:06
43,Terra Santa,-2.1042,-56.4869,76.21,89,94,2.95,BR,2021-01-27 23:32:45
44,Kapaa,22.0752,-159.319,78.8,78,75,18.41,US,2021-01-27 23:27:51
45,Nikolskoye,59.7035,30.7861,34.0,93,90,2.24,RU,2021-01-27 23:32:46
46,Severnyy,50.677,36.5532,37.4,93,75,13.42,RU,2021-01-27 23:32:46
47,Norman Wells,65.282,-126.8329,-20.2,76,75,4.61,CA,2021-01-27 23:32:46
48,Vila Velha,-20.3297,-40.2925,78.8,73,0,2.3,BR,2021-01-27 23:32:46
49,Vila Franca Do Campo,37.7167,-25.4333,63.0,94,75,18.41,PT,2021-01-27 23:32:46
50,Kingman,35.1894,-114.053,42.8,52,75,4.59,US,2021-01-27 23:30:21
51,Alamogordo,32.8995,-105.9603,50.0,14,1,6.91,US,2021-01-27 23:32:47
52,Hobyo,5.3505,48.5268,76.03,74,23,20.42,SO,2021-01-27 23:32:47
53,Bluff,-46.6,168.3333,53.01,72,99,15.99,NZ,2021-01-27 23:32:47
54,Ilhabela,-23.7781,-45.3581,80.02,73,97,3.49,BR,2021-01-27 23:32:48
55,Kahului,20.8947,-156.47,80.6,54,40,28.77,US,2021-01-27 23:32:48
56,Chokurdakh,70.6333,147.9167,-14.69,90,100,11.83,RU,2021-01-27 23:32:48
57,Inhambane,-23.865,35.3833,78.8,88,21,7.02,MZ,2021-01-27 23:32:48
58,Eureka,40.8021,-124.1637,48.0,87,90,9.22,US,2021-01-27 23:32:48
59,Hasaki,35.7333,140.8333,44.6,70,20,13.8,JP,2021-01-27 23:32:48
60,Agde,43.3108,3.4758,52.0,100,90,2.3,FR,2021-01-27 23:32:49
61,Victoria,22.2855,114.1577,63.0,84,0,1.01,HK,2021-01-27 23:27:53
62,Port Hawkesbury,45.6169,-61.3485,28.4,80,90,6.91,CA,2021-01-27 23:32:49
63,Guangyuan,32.442,105.823,30.0,70,92,4.25,CN,2021-01-27 23:28:24
64,Nanortalik,60.1432,-45.2371,24.91,95,100,6.98,GL,2021-01-27 23:32:49
65,Aberdeen,57.1437,-2.0981,30.2,86,81,2.3,GB,2021-01-27 23:32:49
66,Hithadhoo,-0.6,73.0833,81.41,78,98,15.88,MV,2021-01-27 23:28:24
67,Copiapo,-27.3667,-70.3333,62.6,82,90,10.36,CL,2021-01-27 23:32:50
68,Nuevo Progreso,23.1667,-97.95,71.01,37,48,5.99,MX,2021-01-27 23:32:50
69,Bonthe,7.5264,-12.505,77.16,87,0,6.53,SL,2021-01-27 23:32:50
70,Guia Lopes Da Laguna,-21.4578,-56.1142,74.86,90,89,3.67,BR,2021-01-27 23:32:50
71,Clyde River,70.4692,-68.5914,-14.8,76,1,2.3,CA,2021-01-27 23:32:50
72,San Vicente De Canete,-13.0751,-76.3835,71.31,79,35,3.74,PE,2021-01-27 23:32:50
